ID,quantity,material_ID,operation_ID
1,1,1,1
2,2,2,1
3,2,2,2
4,1,4,4
5,2,5,4
6,2,5,5
7,1,7,7
8,2,8,7
9,1,10,10
10,2,11,10
11,2,11,11
12,1,13,13
13,2,14,13
14,2,14,14
15,2,17,17
16,1,19,19
17,2,20,19
18,2,20,20
19,2,3,23
20,1,5,25
21,2,6,25
22,2,6,26
23,1,8,28
24,2,9,28
25,2,9,29
26,1,11,31
27,2,12,31
28,2,12,32
29,1,14,34
30,2,15,34
31,2,15,35
32,1,17,37
33,2,18,37
34,2,18,38
35,1,20,40
36,2,1,40
37,2,1,41
38,1,3,43
39,2,4,43
40,1,6,46
41,2,7,46
42,2,7,47
43,1,9,49
44,2,10,49
45,2,10,50
46,2,13,53
47,1,15,55
48,2,16,55
49,2,16,56
50,1,18,58
51,2,19,58
52,2,19,59
53,1,1,61
54,2,2,61
55,2,2,62
56,1,4,64
57,2,5,64
58,1,7,67
59,2,8,67
60,2,8,68
61,1,10,70
62,2,11,70
63,1,13,73
64,2,14,73
65,2,14,74
66,1,16,76
67,2,17,76
68,2,17,77
69,2,20,80
70,1,2,82
71,2,3,82
72,2,3,83
73,2,6,86
74,1,8,88
75,2,9,88
76,2,9,89
77,1,11,91
78,2,12,91
79,2,12,92
80,1,14,94
81,2,15,94
82,2,15,95
83,1,17,97
84,2,18,97
85,2,18,98
86,1,20,100
87,2,1,100
88,1,3,103
89,2,4,103
90,2,4,104
91,2,7,107
92,1,9,109
93,2,10,109
94,2,10,110
95,1,12,112
96,2,13,112
97,2,13,113
98,1,15,115
99,2,16,115
100,2,16,116
101,1,18,118
102,2,19,118
103,2,19,119
104,1,1,121
105,2,2,121
106,2,2,122
107,1,4,124
108,2,5,124
109,2,5,125
110,1,7,127
111,2,8,127
112,1,10,130
113,2,11,130
114,2,11,131
115,1,13,133
116,2,14,133
117,1,16,136
118,2,17,136
119,2,17,137
120,1,19,139
121,2,20,139
122,2,20,140
123,2,3,143
124,1,5,145
125,2,6,145
126,2,6,146
127,1,8,148
128,2,9,148
129,2,9,149
130,1,11,151
131,2,12,151
132,2,12,152
133,1,14,154
134,2,15,154
135,1,17,157
136,2,18,157
137,2,18,158
138,1,20,160
139,2,1,160
140,2,1,161
141,2,4,164
142,1,6,166
143,2,7,166
144,2,7,167
145,2,10,170
146,1,12,172
147,2,13,172
148,2,13,173
149,1,15,175
150,2,16,175
151,2,16,176
152,1,18,178
153,2,19,178
154,2,19,179
155,1,1,181
156,2,2,181
157,2,2,182
158,1,4,184
159,2,5,184
160,2,5,185
161,1,7,187
162,2,8,187
163,2,8,188
164,1,10,190
165,2,11,190
166,1,13,193
167,2,14,193
168,2,14,194
169,1,16,196
170,2,17,196
171,2,17,197
172,2,20,200
173,1,2,202
174,2,3,202
175,2,3,203
176,1,5,205
177,2,6,205
178,2,6,206
179,1,8,208
180,2,9,208
181,2,9,209
182,1,11,211
183,2,12,211
184,1,14,214
185,2,15,214
186,2,15,215
187,1,17,217
188,2,18,217
189,1,20,220
190,2,1,220
191,2,1,221
192,1,3,223
193,2,4,223
194,2,4,224
195,2,7,227
196,1,9,229
197,2,10,229
198,2,10,230
199,2,13,233
200,1,15,235
201,2,16,235
202,2,16,236
203,1,18,238
204,2,19,238
205,2,19,239
206,1,1,241
207,2,2,241
208,2,2,242
209,1,4,244
210,2,5,244
211,2,5,245
212,1,7,247
213,2,8,247
214,1,10,250
215,2,11,250
216,2,11,251
217,2,14,254
218,1,16,256
219,2,17,256
220,2,17,257
221,1,19,259
222,2,20,259
223,2,20,260
224,1,2,262
225,2,3,262
226,2,3,263
227,1,5,265
228,2,6,265
229,2,6,266
230,1,8,268
231,2,9,268
232,2,9,269
233,1,11,271
234,2,12,271
235,2,12,272
236,1,14,274
237,2,15,274
238,1,17,277
239,2,18,277
240,2,18,278
241,1,20,280
242,2,1,280
243,1,3,283
244,2,4,283
245,2,4,284
246,1,6,286
247,2,7,286
248,2,7,287
249,2,10,290
250,1,12,292
251,2,13,292
252,2,13,293
253,1,15,295
254,2,16,295
255,2,16,296
256,1,18,298
257,2,19,298
258,2,19,299
259,1,1,301
260,2,2,301
261,1,4,304
262,2,5,304
263,2,5,305
264,1,7,307
265,2,8,307
266,2,8,308
267,2,11,311
268,1,13,313
269,2,14,313
