ID,code,type,description,status,durationTime,durationUnit,maintenanceOrder_ID,equipment_ID,operation_ID
1,0010,Mechanical,Inspect and diagnose fault,CRTD,0.5,H,1,1,
2,0020,Electrical,Dismantle assembly,CRTD,2.0,H,1,1,
3,0030,Instrumentation,Replace worn component,CRTD,3.5,H,1,1,
4,0010,Civil,Clean and lubricate,REL,1.0,H,2,2,
5,0020,Mechanical,Test and commission,REL,2.5,H,2,2,
6,0010,Electrical,Calibrate instrument,INPR,4.0,H,3,3,
7,0020,Instrumentation,Tighten and align coupling,INPR,1.5,H,3,3,
8,0020-01,Instrumentation,Inspect shaft alignment,INPR,0.5,H,3,3,7
9,0010,Mechanical,Inspect and diagnose fault,TECO,0.5,H,4,4,
10,0020,Electrical,Dismantle assembly,TECO,2.0,H,4,4,
11,0030,Instrumentation,Replace worn component,TECO,3.5,H,4,4,
12,0010,Civil,Clean and lubricate,CLSD,1.0,H,5,5,
13,0020,Mechanical,Test and commission,CLSD,2.5,H,5,5,
14,0010,Electrical,Calibrate instrument,CRTD,4.0,H,6,6,
15,0020,Instrumentation,Tighten and align coupling,CRTD,1.5,H,6,6,
16,0010-01,Electrical,Inspect shaft alignment,CRTD,0.5,H,6,6,14
17,0010,Mechanical,Inspect and diagnose fault,REL,0.5,H,7,7,
18,0020,Electrical,Dismantle assembly,REL,2.0,H,7,7,
19,0030,Instrumentation,Replace worn component,REL,3.5,H,7,7,
20,0010,Civil,Clean and lubricate,INPR,1.0,H,8,8,
21,0020,Mechanical,Test and commission,INPR,2.5,H,8,8,
22,0020-01,Mechanical,Check insulation resistance,INPR,0.5,H,8,8,21
23,0010,Instrumentation,Tighten and align coupling,TECO,1.5,H,9,9,
24,0020,Civil,Replace consumable part,TECO,3.0,H,9,9,
25,0010,Mechanical,Inspect and diagnose fault,CLSD,0.5,H,10,10,
26,0020,Electrical,Dismantle assembly,CLSD,2.0,H,10,10,
27,0030,Instrumentation,Replace worn component,CLSD,3.5,H,10,10,
28,0010,Civil,Clean and lubricate,CRTD,1.0,H,11,11,
29,0020,Mechanical,Test and commission,CRTD,2.5,H,11,11,
30,0010-01,Civil,Check insulation resistance,CRTD,0.5,H,11,11,28
31,0010,Instrumentation,Tighten and align coupling,REL,1.5,H,12,12,
32,0020,Civil,Replace consumable part,REL,3.0,H,12,12,
33,0010,Mechanical,Inspect and diagnose fault,INPR,0.5,H,13,13,
34,0020,Electrical,Dismantle assembly,INPR,2.0,H,13,13,
35,0030,Instrumentation,Replace worn component,INPR,3.5,H,13,13,
36,0030-01,Instrumentation,Inspect shaft alignment,INPR,0.5,H,13,13,35
37,0010,Mechanical,Test and commission,TECO,2.5,H,14,14,
38,0020,Electrical,Calibrate instrument,TECO,4.0,H,14,14,
39,0010,Instrumentation,Tighten and align coupling,CLSD,1.5,H,15,15,
40,0020,Civil,Replace consumable part,CLSD,3.0,H,15,15,
41,0010,Mechanical,Inspect and diagnose fault,CRTD,0.5,H,16,16,
42,0020,Electrical,Dismantle assembly,CRTD,2.0,H,16,16,
43,0030,Instrumentation,Replace worn component,CRTD,3.5,H,16,16,
44,0020-01,Electrical,Inspect shaft alignment,CRTD,0.5,H,16,16,42
45,0010,Mechanical,Test and commission,REL,2.5,H,17,17,
46,0020,Electrical,Calibrate instrument,REL,4.0,H,17,17,
47,0010,Instrumentation,Tighten and align coupling,INPR,1.5,H,18,18,
48,0020,Civil,Replace consumable part,INPR,3.0,H,18,18,
49,0010,Mechanical,Inspect and diagnose fault,TECO,0.5,H,19,19,
50,0020,Electrical,Dismantle assembly,TECO,2.0,H,19,19,
51,0030,Instrumentation,Replace worn component,TECO,3.5,H,19,19,
52,0010-01,Mechanical,Inspect shaft alignment,TECO,0.5,H,19,19,49
53,0010,Mechanical,Test and commission,CLSD,2.5,H,20,20,
54,0020,Electrical,Calibrate instrument,CLSD,4.0,H,20,20,
55,0010,Instrumentation,Tighten and align coupling,CRTD,1.5,H,21,1,
56,0020,Civil,Replace consumable part,CRTD,3.0,H,21,1,
57,0020-01,Civil,Verify torque settings,CRTD,0.5,H,21,1,56
58,0010,Electrical,Dismantle assembly,REL,2.0,H,22,2,
59,0020,Instrumentation,Replace worn component,REL,3.5,H,22,2,
60,0030,Civil,Clean and lubricate,REL,1.0,H,22,2,
61,0010,Mechanical,Test and commission,INPR,2.5,H,23,3,
62,0020,Electrical,Calibrate instrument,INPR,4.0,H,23,3,
63,0010,Instrumentation,Tighten and align coupling,TECO,1.5,H,24,4,
64,0020,Civil,Replace consumable part,TECO,3.0,H,24,4,
65,0010-01,Instrumentation,Verify torque settings,TECO,0.5,H,24,4,63
66,0010,Electrical,Dismantle assembly,CLSD,2.0,H,25,5,
67,0020,Instrumentation,Replace worn component,CLSD,3.5,H,25,5,
68,0030,Civil,Clean and lubricate,CLSD,1.0,H,25,5,
69,0010,Mechanical,Test and commission,CRTD,2.5,H,26,6,
70,0020,Electrical,Calibrate instrument,CRTD,4.0,H,26,6,
71,0020-01,Electrical,Record vibration readings,CRTD,0.5,H,26,6,70
72,0010,Civil,Replace consumable part,REL,3.0,H,27,7,
73,0020,Mechanical,Inspect and diagnose fault,REL,0.5,H,27,7,
74,0010,Electrical,Dismantle assembly,INPR,2.0,H,28,8,
75,0020,Instrumentation,Replace worn component,INPR,3.5,H,28,8,
76,0030,Civil,Clean and lubricate,INPR,1.0,H,28,8,
77,0010,Mechanical,Test and commission,TECO,2.5,H,29,9,
78,0020,Electrical,Calibrate instrument,TECO,4.0,H,29,9,
79,0010-01,Mechanical,Record vibration readings,TECO,0.5,H,29,9,77
80,0010,Civil,Replace consumable part,CLSD,3.0,H,30,10,
81,0020,Mechanical,Inspect and diagnose fault,CLSD,0.5,H,30,10,
82,0010,Electrical,Dismantle assembly,CRTD,2.0,H,31,11,
83,0020,Instrumentation,Replace worn component,CRTD,3.5,H,31,11,
84,0030,Civil,Clean and lubricate,CRTD,1.0,H,31,11,
85,0030-01,Civil,Verify torque settings,CRTD,0.5,H,31,11,84
86,0010,Electrical,Calibrate instrument,REL,4.0,H,32,12,
87,0020,Instrumentation,Tighten and align coupling,REL,1.5,H,32,12,
88,0010,Civil,Replace consumable part,INPR,3.0,H,33,13,
89,0020,Mechanical,Inspect and diagnose fault,INPR,0.5,H,33,13,
90,0010,Electrical,Dismantle assembly,TECO,2.0,H,34,14,
91,0020,Instrumentation,Replace worn component,TECO,3.5,H,34,14,
92,0030,Civil,Clean and lubricate,TECO,1.0,H,34,14,
93,0020-01,Instrumentation,Verify torque settings,TECO,0.5,H,34,14,91
94,0010,Electrical,Calibrate instrument,CLSD,4.0,H,35,15,
95,0020,Instrumentation,Tighten and align coupling,CLSD,1.5,H,35,15,
96,0010,Civil,Replace consumable part,CRTD,3.0,H,36,16,
97,0020,Mechanical,Inspect and diagnose fault,CRTD,0.5,H,36,16,
98,0010,Electrical,Dismantle assembly,REL,2.0,H,37,17,
99,0020,Instrumentation,Replace worn component,REL,3.5,H,37,17,
100,0030,Civil,Clean and lubricate,REL,1.0,H,37,17,
101,0010-01,Electrical,Verify torque settings,REL,0.5,H,37,17,98
102,0010,Electrical,Calibrate instrument,INPR,4.0,H,38,18,
103,0020,Instrumentation,Tighten and align coupling,INPR,1.5,H,38,18,
104,0010,Civil,Replace consumable part,TECO,3.0,H,39,19,
105,0020,Mechanical,Inspect and diagnose fault,TECO,0.5,H,39,19,
106,0020-01,Mechanical,Check insulation resistance,TECO,0.5,H,39,19,105
107,0010,Instrumentation,Replace worn component,CLSD,3.5,H,40,20,
108,0020,Civil,Clean and lubricate,CLSD,1.0,H,40,20,
109,0030,Mechanical,Test and commission,CLSD,2.5,H,40,20,
110,0010,Electrical,Calibrate instrument,CRTD,4.0,H,41,1,
111,0020,Instrumentation,Tighten and align coupling,CRTD,1.5,H,41,1,
112,0010,Civil,Replace consumable part,REL,3.0,H,42,2,
113,0020,Mechanical,Inspect and diagnose fault,REL,0.5,H,42,2,
114,0010-01,Civil,Check insulation resistance,REL,0.5,H,42,2,112
115,0010,Instrumentation,Replace worn component,INPR,3.5,H,43,3,
116,0020,Civil,Clean and lubricate,INPR,1.0,H,43,3,
117,0030,Mechanical,Test and commission,INPR,2.5,H,43,3,
118,0010,Electrical,Calibrate instrument,TECO,4.0,H,44,4,
119,0020,Instrumentation,Tighten and align coupling,TECO,1.5,H,44,4,
120,0020-01,Instrumentation,Inspect shaft alignment,TECO,0.5,H,44,4,119
121,0010,Mechanical,Inspect and diagnose fault,CLSD,0.5,H,45,5,
122,0020,Electrical,Dismantle assembly,CLSD,2.0,H,45,5,
123,0010,Instrumentation,Replace worn component,CRTD,3.5,H,46,6,
124,0020,Civil,Clean and lubricate,CRTD,1.0,H,46,6,
125,0030,Mechanical,Test and commission,CRTD,2.5,H,46,6,
126,0010,Electrical,Calibrate instrument,REL,4.0,H,47,7,
127,0020,Instrumentation,Tighten and align coupling,REL,1.5,H,47,7,
128,0010-01,Electrical,Inspect shaft alignment,REL,0.5,H,47,7,126
129,0010,Mechanical,Inspect and diagnose fault,INPR,0.5,H,48,8,
130,0020,Electrical,Dismantle assembly,INPR,2.0,H,48,8,
131,0010,Instrumentation,Replace worn component,TECO,3.5,H,49,9,
132,0020,Civil,Clean and lubricate,TECO,1.0,H,49,9,
133,0030,Mechanical,Test and commission,TECO,2.5,H,49,9,
134,0030-01,Mechanical,Check insulation resistance,TECO,0.5,H,49,9,133
