ID,warehouse,availableQuantity,center,material_ID
1,WH-01,10,PLANT-01,1
2,WH-02,23,PLANT-02,1
3,WH-02,17,PLANT-02,2
4,WH-03,24,PLANT-03,3
5,WH-01,31,PLANT-01,4
6,WH-02,44,PLANT-02,4
7,WH-02,38,PLANT-02,5
8,WH-03,45,PLANT-03,6
9,WH-01,52,PLANT-01,7
10,WH-02,65,PLANT-02,7
11,WH-02,59,PLANT-02,8
12,WH-03,66,PLANT-03,9
13,WH-01,73,PLANT-01,10
14,WH-02,86,PLANT-02,10
15,WH-02,80,PLANT-02,11
16,WH-03,87,PLANT-03,12
17,WH-01,94,PLANT-01,13
18,WH-02,107,PLANT-02,13
19,WH-02,101,PLANT-02,14
20,WH-03,108,PLANT-03,15
21,WH-01,115,PLANT-01,16
22,WH-02,128,PLANT-02,16
23,WH-02,122,PLANT-02,17
24,WH-03,129,PLANT-03,18
25,WH-01,136,PLANT-01,19
26,WH-02,149,PLANT-02,19
27,WH-02,143,PLANT-02,20
